date,equity,peak,dd,year,month
2025-01-30,19422.490112304688,21976.213745117188,-0.11620398592910042,2025,2025-01
2025-01-31,19422.490112304688,21976.213745117188,-0.11620398592910042,2025,2025-01
2025-02-03,19422.490112304688,21976.213745117188,-0.11620398592910042,2025,2025-02
2025-02-04,19561.747924804688,21976.213745117188,-0.10986723410664678,2025,2025-02
2025-02-05,19852.203002929688,21976.213745117188,-0.09665044064560147,2025,2025-02
2025-02-06,20041.197143554688,21976.213745117188,-0.08805049969048617,2025,2025-02
2025-02-07,19876.076049804688,21976.213745117188,-0.09556412763682376,2025,2025-02
2025-02-10,19504.056518554688,21976.213745117188,-0.11249240907623492,2025,2025-02
2025-02-12,20220.242065429688,21976.213745117188,-0.0799032854364029,2025,2025-02
2025-02-13,19519.968627929688,21976.213745117188,-0.11176834852788253,2025,2025-02
2025-02-14,19784.564331054688,21976.213745117188,-0.09972825344172198,2025,2025-02
2025-02-17,20120.771362304688,21976.213745117188,-0.08442957482722668,2025,2025-02
2025-02-18,20186.423706054688,21976.213745117188,-0.08144214739721334,2025,2025-02
2025-02-19,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-02
2025-02-20,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-02
2025-02-21,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-02
2025-02-25,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-02
2025-02-26,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-02
2025-02-27,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-02
2025-02-28,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-02
2025-03-03,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-03
2025-03-04,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-03
2025-03-05,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-03
2025-03-06,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-03
2025-03-07,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-03
2025-03-10,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-03
2025-03-11,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-03
2025-03-12,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-03
2025-03-13,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-03
2025-03-14,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-03
2025-03-17,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-03
2025-03-18,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-03
2025-03-19,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-03
2025-03-21,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-03
2025-03-24,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-03
2025-03-25,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-03
2025-03-26,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-03
2025-03-27,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-03
2025-03-28,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-03
2025-03-31,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-03
2025-04-01,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-04
2025-04-02,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-04
2025-04-03,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-04
2025-04-04,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-04
2025-04-07,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-04
2025-04-08,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-04
2025-04-09,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-04
2025-04-10,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-04
2025-04-11,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-04
2025-04-14,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-04
2025-04-15,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-04
2025-04-16,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-04
2025-04-17,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-04
2025-04-18,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-04
2025-04-21,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-04
2025-04-22,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-04
2025-04-23,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-04
2025-04-24,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-04
2025-04-25,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-04
2025-04-28,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-04
2025-04-30,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-04
2025-05-01,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-05
2025-05-02,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-05
2025-05-07,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-05
2025-05-08,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-05
2025-05-09,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-05
2025-05-12,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-05
2025-05-13,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-05
2025-05-14,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-05
2025-05-15,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-05
2025-05-16,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-05
2025-05-19,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-05
2025-05-20,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-05
2025-05-21,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-05
2025-05-22,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-05
2025-05-23,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-05
2025-05-26,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-05
2025-05-27,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-05
2025-05-28,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-05
2025-05-29,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-05
2025-05-30,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-05
2025-06-02,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-06
2025-06-03,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-06
2025-06-04,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-06
2025-06-05,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-06
2025-06-06,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-06
2025-06-09,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-06
2025-06-10,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-06
2025-06-11,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-06
2025-06-12,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-06
2025-06-13,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-06
2025-06-16,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-06
2025-06-17,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-06
2025-06-18,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-06
2025-06-19,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-06
2025-06-20,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-06
2025-06-23,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-06
2025-06-24,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-06
2025-06-25,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-06
2025-06-26,19814.404174804688,21976.213745117188,-0.0983704288366245,2025,2025-06
